"","precio","superficie","distrito","fecha","ciudad","tipo"
"99",90000,42,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"100",480000,181,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"101",716000,600,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"102",250000,145,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"103",408890,276,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"104",9000,17,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"105",6e+05,1100,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"106",8e+05,655,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"107",1600000,1303,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"108",206658,80,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"109",678500,500,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"110",182700,87,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"111",68000,46,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"112",385000,447,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"113",139000,145,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"114",239000,157,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"115",98000,20,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"116",6e+05,54,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"117",1200000,450,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"118",75000,50,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"119",395000,120,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"120",367000,80,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"121",158000,59,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"122",179000,95,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"123",450000,126,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"124",4e+05,225,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"125",170000,110,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"126",3e+05,141,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"127",450000,164,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"128",310000,265,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"129",245000,380,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"130",276600,110,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"131",580000,310,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"132",110000,112,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"133",189000,104,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"134",525000,150,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"135",129900,90,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"136",402000,164,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"137",592600,277,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"138",206658,85,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"139",199000,95,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"140",105000,40,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"141",80000,40,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"142",190000,112,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"143",250000,138,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"144",5e+05,406,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"145",5e+05,286,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"146",166000,88,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"147",437000,198,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"148",96000,35,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"149",180000,87,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"150",490000,200,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"151",4e+05,160,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"152",165000,52,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"153",125000,40,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"154",536000,200,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"155",170000,122,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"156",120000,78,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"157",395000,150,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"158",536000,233,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
